"placename","sampling_event","longitude","latitude"
"CT-668","2019",-62.9278803,-9.257004
"CT-669","2016",-62.9150065,-9.2570012
"CT-669","2017",-62.9150065,-9.2570012
"CT-669","2018",-62.9150065,-9.2570012
"CT-669","2019",-62.9150065,-9.2570012
"CT-670","2016",-62.9021327,-9.2569979
"CT-670","2018",-62.9021327,-9.2569979
"CT-670","2019",-62.9021327,-9.2569979
"CT-670","2017",-62.9021327,-9.2569979
"CT-671","2016",-62.8892589,-9.2569942
"CT-671","2017",-62.8892589,-9.2569942
"CT-671","2018",-62.8892589,-9.2569942
"CT-671","2019",-62.8892589,-9.2569942
"CT-705","2016",-62.9407562,-9.2442168
"CT-705","2017",-62.9407562,-9.2442168
"CT-705","2018",-62.9407562,-9.2442168
"CT-705","2019",-62.9407562,-9.2442168
"CT-706","2016",-62.9278829,-9.2442145
"CT-706","2018",-62.9278829,-9.2442145
"CT-706","2019",-62.9278829,-9.2442145
"CT-707","2016",-62.9150095,-9.2442117
"CT-707","2017",-62.9150095,-9.2442117
"CT-707","2018",-62.9150095,-9.2442117
"CT-707","2019",-62.9150095,-9.2442117
"CT-708","2016",-62.9021362,-9.2442084
"CT-708","2017",-62.9021362,-9.2442084
"CT-708","2018",-62.9021362,-9.2442084
"CT-709","2016",-62.8892629,-9.2442046
"CT-709","2017",-62.8892629,-9.2442046
"CT-709","2018",-62.8892629,-9.2442046
"CT-709","2019",-62.8892629,-9.2442046
"CT-736","2020",-63.030869,-9.231431
"CT-743","2016",-62.9407584,-9.2314272
"CT-743","2017",-62.9407584,-9.2314272
"CT-743","2018",-62.9407584,-9.2314272
"CT-744","2017",-62.9278855,-9.2314249
"CT-744","2018",-62.9278855,-9.2314249
"CT-744","2019",-62.9278855,-9.2314249
"CT-745","2017",-62.9150126,-9.2314221
"CT-745","2018",-62.9150126,-9.2314221
"CT-745","2019",-62.9150126,-9.2314221
"CT-746","2016",-62.9021397,-9.2314188
"CT-746","2017",-62.9021397,-9.2314188
"CT-746","2018",-62.9021397,-9.2314188
"CT-747","2016",-62.8892669,-9.2314151
"CT-747","2017",-62.8892669,-9.2314151
"CT-747","2018",-62.8892669,-9.2314151
"CT-747","2019",-62.8892669,-9.2314151
"CT-774","2020",-63.030861,-9.218639
"CT-775","2020",-63.017995,-9.218642
"CT-776","2019",-63.0051226,-9.2186425
"CT-776","2020",-63.0051226,-9.2186425
"CT-781","2016",-62.9407605,-9.2186376
"CT-781","2017",-62.9407605,-9.2186376
"CT-781","2018",-62.9407605,-9.2186376
"CT-781","2019",-62.9407605,-9.2186376
"CT-783","2016",-62.9150157,-9.2186325
"CT-783","2017",-62.9150157,-9.2186325
"CT-783","2018",-62.9150157,-9.2186325
"CT-784","2016",-62.9021432,-9.2186292
"CT-784","2017",-62.9021432,-9.2186292
"CT-784","2018",-62.9021432,-9.2186292
"CT-784","2019",-62.9021432,-9.2186292
"CT-813","2019",-63.0179944,-9.2058525
"CT-813","2020",-63.0179944,-9.2058525
"CT-814","2019",-63.0051224,-9.2058529
"CT-814","2020",-63.0051224,-9.2058529
"CT-851","2018",-63.0179937,-9.1930628
"CT-852","2018",-63.0051222,-9.1930633
"CT-889","2018",-63.0179931,-9.1802732
"CT-890","2018",-63.0051221,-9.1802736
"CT-927","2018",-63.0179925,-9.1674836
"CT-928","2018",-63.0051219,-9.167484
"CT-929","2018",-62.9922513,-9.1674839
"CT-930","2018",-62.9793807,-9.1674834
"CT-931","2018",-62.9665101,-9.1674825
"CT-965","2017",-63.0179918,-9.1546939
"CT-965","2018",-63.0179918,-9.1546939
"CT-965","2019",-63.0179918,-9.1546939
"CT-966","2017",-63.0051217,-9.1546943
"CT-966","2019",-63.0051217,-9.1546943
"CT-967","2017",-62.9922516,-9.1546943
"CT-967","2018",-62.9922516,-9.1546943
"CT-967","2019",-62.9922516,-9.1546943
"CT-968","2017",-62.9793815,-9.1546938
"CT-968","2019",-62.9793815,-9.1546938
"CT-969","2019",-62.9665113,-9.1546928
