"sampling_event","longitude","latitude","placename","dist_water","intensity_500","intensity_250","effort","Atelocynus","Dasyprocta","Myrmecophaga","Pecari","Tapirus","Cuniculus","Leopardus","Mazama","Nasua","Tayassu","Puma","Tamandua","Didelphis","Eira","Dasypus","Priodontes","Panthera"
"2017",-62.9793703,-9.3465375,"CT-398",400,0,0,42,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019",-62.9793703,-9.3465375,"CT-398",400,0,0,45,0,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"2017",-62.9664932,-9.3465365,"CT-399",300,0,0,42,0,9,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
"2019",-62.9664932,-9.3465365,"CT-399",300,0,0,32,0,11,0,0,0,15,0,6,0,0,0,0,0,0,0,0,0
"2017",-62.9536161,-9.3465351,"CT-400",100,0,0,42,0,9,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0
"2019",-62.9536161,-9.3465351,"CT-400",100,0,0,8,0,3,0,6,0,0,0,0,0,0,2,0,0,0,0,0,0
"2017",-62.940739,-9.3465332,"CT-401",100,0,0,61,0,18,3,0,0,6,0,0,0,0,0,0,0,0,0,0,0
"2019",-62.940739,-9.3465332,"CT-401",100,0,0,29,6,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019",-62.9278619,-9.3465308,"CT-402",0,0,0,46,0,39,9,16,0,0,0,0,0,0,3,8,0,3,0,0,0
"2018",-63.0308775,-9.3337473,"CT-432",269.2579956,0,0,39,0,14,0,5,0,3,0,0,0,0,0,3,0,0,0,3,3
